PO#,Ship From,Destination,Status,Total Amount,Expected Arrival,Carrier Reference,Internal Notes
PO-426142,Rotterdam,Dallas DC,IN_TRANSIT,122256.04,2026-04-07 19:51:23,CARR-4252,
PO-779663,Shanghai Port,Rotterdam,DELAYED,199669.53,2026-03-31 19:51:23,CARR-9797,Handle with care
PO-359112,Berlin Factory,Tokyo Port,IN_TRANSIT,156521.38,2026-04-10 19:51:23,CARR-5077,
PO-315715,Tokyo Port,Shanghai Port,IN_TRANSIT,218394.35,2026-04-15 19:51:23,CARR-3951,Handle with care
PO-647873,Rotterdam,Shanghai Port,CUSTOMS_HOLD,214074.93,2026-03-13 19:51:23,CARR-7961,
PO-908724,Rotterdam,Tokyo Port,DELAYED,123789.58,2026-03-22 19:51:23,CARR-4852,
PO-423653,Tokyo Port,Berlin Factory,AT_PORT,219283.6,2026-03-15 19:51:23,CARR-7113,
PO-408738,Shanghai Port,Rotterdam,IN_TRANSIT,44086.81,2026-03-13 19:51:23,CARR-7184,
PO-799889,Dallas DC,Los Angeles Port,AT_PORT,159675.5,2026-04-07 19:51:23,CARR-3074,
PO-386261,Berlin Factory,Shanghai Port,AT_PORT,185555.53,2026-04-22 19:51:23,CARR-4728,
PO-309605,Dallas DC,Shanghai Port,IN_TRANSIT,206261.41,2026-03-28 19:51:23,CARR-1255,Handle with care
PO-870929,Tokyo Port,Rotterdam,DELIVERED,212930.82,2026-04-11 19:51:23,CARR-9335,
PO-700160,Berlin Factory,Shanghai Port,IN_TRANSIT,128452.71,2026-04-21 19:51:23,CARR-4025,
PO-444932,Dallas DC,Rotterdam,IN_TRANSIT,220466.62,2026-03-24 19:51:23,CARR-2523,
PO-997650,Rotterdam,Los Angeles Port,IN_TRANSIT,116695.39,2026-03-29 19:51:23,CARR-8301,
PO-691527,Los Angeles Port,Shanghai Port,AT_PORT,137873.12,2026-03-15 19:51:23,CARR-1251,
PO-731669,Tokyo Port,Los Angeles Port,IN_TRANSIT,48772.2,2026-03-28 19:51:23,CARR-8782,
PO-797518,Tokyo Port,Rotterdam,DELAYED,167971.22,2026-03-27 19:51:23,CARR-3089,
PO-397269,Berlin Factory,Los Angeles Port,IN_TRANSIT,226056.02,2026-03-13 19:51:23,CARR-7460,
PO-358850,Los Angeles Port,Berlin Factory,DELAYED,144024.43,2026-03-26 19:51:23,CARR-1797,Handle with care
PO-179195,Los Angeles Port,Rotterdam,IN_TRANSIT,155611.21,2026-03-22 19:51:23,CARR-9082,
PO-811129,Dallas DC,Los Angeles Port,AT_PORT,31074.8,2026-03-23 19:51:23,CARR-7158,
PO-566393,Rotterdam,Dallas DC,AT_PORT,36749.14,2026-03-20 19:51:23,CARR-2808,
PO-287088,Los Angeles Port,Shanghai Port,IN_TRANSIT,124370.61,2026-04-10 19:51:23,CARR-2507,Handle with care
PO-297650,Dallas DC,Berlin Factory,IN_TRANSIT,133653.56,2026-04-01 19:51:23,CARR-4425,
PO-803486,Dallas DC,Rotterdam,DELIVERED,40964.07,2026-03-13 19:51:23,CARR-1353,
PO-918438,Berlin Factory,Los Angeles Port,DELAYED,73020.68,2026-04-04 19:51:23,CARR-9956,
PO-193933,Shanghai Port,Dallas DC,AT_PORT,41470.85,2026-04-07 19:51:23,CARR-6131,
PO-328475,Los Angeles Port,Berlin Factory,DELIVERED,130564.79,2026-04-14 19:51:23,CARR-2010,Handle with care
PO-627454,Rotterdam,Berlin Factory,IN_TRANSIT,86363.95,2026-04-20 19:51:23,CARR-8173,
PO-696635,Berlin Factory,Rotterdam,AT_PORT,206987.23,2026-03-20 19:51:23,CARR-5534,
PO-963540,Los Angeles Port,Dallas DC,DELIVERED,96900.48,2026-04-12 19:51:23,CARR-6112,Handle with care
PO-668030,Los Angeles Port,Dallas DC,IN_TRANSIT,46614.43,2026-03-28 19:51:23,CARR-7990,
PO-286356,Berlin Factory,Rotterdam,IN_TRANSIT,73806.21,2026-03-27 19:51:23,CARR-6847,
PO-558424,Shanghai Port,Rotterdam,DELIVERED,222772.68,2026-04-05 19:51:23,CARR-4974,
PO-208621,Shanghai Port,Berlin Factory,IN_TRANSIT,147167.07,2026-04-06 19:51:23,CARR-8606,Handle with care
PO-686315,Los Angeles Port,Dallas DC,DELIVERED,196910.12,2026-04-08 19:51:23,CARR-2539,
PO-337902,Rotterdam,Dallas DC,AT_PORT,237465.46,2026-04-09 19:51:23,CARR-1162,
PO-608098,Dallas DC,Los Angeles Port,DELAYED,63720.24,2026-03-30 19:51:23,CARR-1000,Handle with care
PO-154815,Tokyo Port,Shanghai Port,DELIVERED,189261.28,2026-03-28 19:51:23,CARR-9734,
PO-559856,Berlin Factory,Los Angeles Port,IN_TRANSIT,212552.14,2026-03-31 19:51:23,CARR-4911,
PO-419479,Shanghai Port,Tokyo Port,DELIVERED,80441.13,2026-04-11 19:51:23,CARR-1883,
PO-935184,Rotterdam,Tokyo Port,IN_TRANSIT,71778.03,2026-03-20 19:51:23,CARR-7309,
PO-517783,Los Angeles Port,Shanghai Port,IN_TRANSIT,83564.05,2026-03-26 19:51:23,CARR-3995,
PO-370663,Dallas DC,Rotterdam,IN_TRANSIT,206613.25,2026-04-09 19:51:23,CARR-4573,
PO-655327,Rotterdam,Berlin Factory,IN_TRANSIT,197820.63,2026-04-16 19:51:23,CARR-1679,
PO-530395,Shanghai Port,Berlin Factory,IN_TRANSIT,116271.16,2026-03-17 19:51:23,CARR-2393,
PO-968839,Tokyo Port,Shanghai Port,IN_TRANSIT,199419.84,2026-03-26 19:51:23,CARR-3705,
PO-829154,Tokyo Port,Shanghai Port,AT_PORT,215541.26,2026-04-15 19:51:23,CARR-1320,
PO-404446,Shanghai Port,Berlin Factory,AT_PORT,35122.73,2026-04-19 19:51:23,CARR-2963,
PO-164055,Rotterdam,Berlin Factory,IN_TRANSIT,132739.02,2026-04-01 19:51:23,CARR-9315,
PO-160007,Shanghai Port,Dallas DC,IN_TRANSIT,70821.11,2026-03-18 19:51:23,CARR-2247,Handle with care
PO-917861,Berlin Factory,Dallas DC,IN_TRANSIT,242386.71,2026-03-14 19:51:23,CARR-2959,
PO-187014,Shanghai Port,Los Angeles Port,DELAYED,173631.04,2026-03-21 19:51:23,CARR-6206,Handle with care
PO-674617,Shanghai Port,Berlin Factory,DELAYED,88234.29,2026-03-29 19:51:23,CARR-8852,Handle with care
PO-282965,Shanghai Port,Los Angeles Port,IN_TRANSIT,24967.44,2026-03-28 19:51:23,CARR-2017,Handle with care
PO-750098,Los Angeles Port,Berlin Factory,IN_TRANSIT,78261.76,2026-03-16 19:51:23,CARR-1154,
PO-209883,Shanghai Port,Dallas DC,AT_PORT,160007.36,2026-03-31 19:51:23,CARR-9130,
PO-958481,Shanghai Port,Berlin Factory,IN_TRANSIT,114516.06,2026-04-04 19:51:23,CARR-1720,Handle with care
PO-131401,Los Angeles Port,Berlin Factory,DELIVERED,11949.4,2026-03-27 19:51:23,CARR-7659,
PO-437033,Los Angeles Port,Shanghai Port,AT_PORT,146089.32,2026-03-28 19:51:23,CARR-9226,
PO-355250,Los Angeles Port,Berlin Factory,IN_TRANSIT,208942.54,2026-04-16 19:51:23,CARR-4616,
PO-516104,Los Angeles Port,Berlin Factory,IN_TRANSIT,138085.77,2026-04-14 19:51:23,CARR-6877,
PO-351122,Shanghai Port,Rotterdam,AT_PORT,67779.99,2026-04-03 19:51:23,CARR-5654,
PO-535422,Shanghai Port,Los Angeles Port,IN_TRANSIT,87939.26,2026-03-16 19:51:23,CARR-1548,
PO-474024,Los Angeles Port,Rotterdam,IN_TRANSIT,218613.39,2026-03-17 19:51:23,CARR-6542,
PO-370607,Dallas DC,Rotterdam,IN_TRANSIT,35139.15,2026-04-16 19:51:23,CARR-7680,
PO-375765,Shanghai Port,Berlin Factory,IN_TRANSIT,239107.93,2026-03-28 19:51:23,CARR-9493,
PO-430143,Tokyo Port,Shanghai Port,AT_PORT,62536.91,2026-04-01 19:51:23,CARR-3886,
PO-928106,Los Angeles Port,Rotterdam,IN_TRANSIT,214234.4,2026-04-07 19:51:23,CARR-6297,Handle with care
PO-920244,Dallas DC,Shanghai Port,DELAYED,36187.05,2026-03-30 19:51:23,CARR-7483,
PO-445414,Shanghai Port,Rotterdam,DELIVERED,245815.29,2026-04-20 19:51:23,CARR-7595,
PO-120926,Dallas DC,Tokyo Port,IN_TRANSIT,152019.46,2026-03-15 19:51:23,CARR-6360,
PO-153189,Rotterdam,Berlin Factory,IN_TRANSIT,153428.69,2026-03-17 19:51:23,CARR-5242,
PO-555674,Berlin Factory,Shanghai Port,AT_PORT,176553.73,2026-03-15 19:51:23,CARR-3547,Handle with care
PO-182825,Los Angeles Port,Tokyo Port,CUSTOMS_HOLD,140306.02,2026-04-16 19:51:23,CARR-3781,Handle with care
PO-477441,Dallas DC,Shanghai Port,IN_TRANSIT,109072.57,2026-03-21 19:51:23,CARR-7905,
PO-544357,Shanghai Port,Berlin Factory,CUSTOMS_HOLD,125483.05,2026-04-16 19:51:23,CARR-9883,
PO-872620,Los Angeles Port,Rotterdam,AT_PORT,222443.96,2026-03-13 19:51:23,CARR-5377,Handle with care
PO-448096,Rotterdam,Dallas DC,IN_TRANSIT,131842.11,2026-04-06 19:51:23,CARR-3012,Handle with care
PO-321183,Tokyo Port,Berlin Factory,DELAYED,97062.83,2026-03-20 19:51:23,CARR-2820,
PO-615117,Rotterdam,Los Angeles Port,AT_PORT,80669.51,2026-04-02 19:51:24,CARR-5275,
PO-144770,Rotterdam,Berlin Factory,DELIVERED,13357.12,2026-04-03 19:51:24,CARR-8594,
PO-888005,Shanghai Port,Berlin Factory,DELIVERED,140086.16,2026-04-05 19:51:24,CARR-9569,
PO-815185,Berlin Factory,Los Angeles Port,DELIVERED,13039.64,2026-03-31 19:51:24,CARR-1483,
PO-600625,Los Angeles Port,Berlin Factory,DELAYED,245181.3,2026-04-18 19:51:24,CARR-2803,
PO-734642,Los Angeles Port,Dallas DC,IN_TRANSIT,28068.47,2026-04-16 19:51:24,CARR-8981,
PO-675302,Berlin Factory,Tokyo Port,AT_PORT,215774.15,2026-03-31 19:51:24,CARR-2262,
PO-670502,Los Angeles Port,Dallas DC,AT_PORT,168464.45,2026-04-21 19:51:24,CARR-4526,Handle with care
PO-169650,Rotterdam,Berlin Factory,AT_PORT,66775.36,2026-04-13 19:51:24,CARR-2647,
PO-361923,Shanghai Port,Dallas DC,IN_TRANSIT,13902.49,2026-03-14 19:51:24,CARR-9743,
PO-864718,Los Angeles Port,Tokyo Port,IN_TRANSIT,240287.64,2026-04-17 19:51:24,CARR-8246,
PO-692926,Rotterdam,Los Angeles Port,IN_TRANSIT,171270.55,2026-03-28 19:51:24,CARR-2852,
PO-988252,Dallas DC,Tokyo Port,DELAYED,215612.87,2026-03-22 19:51:24,CARR-8947,Handle with care
PO-792662,Tokyo Port,Los Angeles Port,DELIVERED,177079.66,2026-04-17 19:51:24,CARR-4720,Handle with care
PO-382843,Shanghai Port,Tokyo Port,IN_TRANSIT,122308.81,2026-03-21 19:51:24,CARR-6796,
PO-444922,Shanghai Port,Dallas DC,IN_TRANSIT,61650.75,2026-03-31 19:51:24,CARR-1443,
PO-398333,Dallas DC,Tokyo Port,DELIVERED,126082.29,2026-03-15 19:51:24,CARR-2189,
PO-789804,Berlin Factory,Rotterdam,AT_PORT,12991.55,2026-04-16 19:51:24,CARR-2281,
PO-611490,Tokyo Port,Dallas DC,AT_PORT,167378.93,2026-03-23 19:51:24,CARR-4182,
PO-501887,Rotterdam,Los Angeles Port,AT_PORT,92300.06,2026-04-04 19:51:24,CARR-3406,
PO-155210,Rotterdam,Dallas DC,DELIVERED,19191.26,2026-04-15 19:51:24,CARR-4164,Handle with care
PO-577588,Berlin Factory,Shanghai Port,IN_TRANSIT,226617.71,2026-04-05 19:51:24,CARR-9138,
PO-877350,Los Angeles Port,Dallas DC,IN_TRANSIT,13112.11,2026-04-04 19:51:24,CARR-6597,
PO-315194,Berlin Factory,Los Angeles Port,IN_TRANSIT,52345.74,2026-04-10 19:51:24,CARR-2305,
PO-922602,Dallas DC,Rotterdam,IN_TRANSIT,68229.46,2026-03-18 19:51:24,CARR-2859,Handle with care
PO-272371,Los Angeles Port,Rotterdam,IN_TRANSIT,232160.66,2026-03-26 19:51:24,CARR-2454,
PO-309441,Tokyo Port,Shanghai Port,IN_TRANSIT,170943.77,2026-04-01 19:51:24,CARR-3636,
PO-523059,Los Angeles Port,Berlin Factory,IN_TRANSIT,242194.06,2026-03-21 19:51:24,CARR-4518,
PO-224772,Rotterdam,Los Angeles Port,IN_TRANSIT,85276.39,2026-03-28 19:51:24,CARR-2313,Handle with care
PO-167779,Berlin Factory,Dallas DC,IN_TRANSIT,230951.59,2026-03-17 19:51:24,CARR-1335,
PO-660514,Berlin Factory,Los Angeles Port,IN_TRANSIT,66922.27,2026-03-25 19:51:24,CARR-4254,
PO-139789,Los Angeles Port,Berlin Factory,IN_TRANSIT,193293.61,2026-04-06 19:51:24,CARR-7158,
PO-319386,Rotterdam,Berlin Factory,AT_PORT,90025.76,2026-04-10 19:51:24,CARR-5399,
PO-968067,Berlin Factory,Dallas DC,IN_TRANSIT,106334.82,2026-04-08 19:51:24,CARR-5228,
PO-852547,Los Angeles Port,Shanghai Port,IN_TRANSIT,48611.76,2026-04-17 19:51:24,CARR-4304,
PO-505893,Tokyo Port,Shanghai Port,IN_TRANSIT,20680.14,2026-03-13 19:51:24,CARR-3430,
PO-551138,Los Angeles Port,Dallas DC,AT_PORT,18182.14,2026-03-23 19:51:24,CARR-6194,
PO-497114,Berlin Factory,Tokyo Port,IN_TRANSIT,116714.4,2026-04-20 19:51:24,CARR-8848,
PO-230759,Berlin Factory,Dallas DC,AT_PORT,152694.64,2026-04-18 19:51:24,CARR-5153,Handle with care
PO-473389,Los Angeles Port,Tokyo Port,IN_TRANSIT,79777.12,2026-04-14 19:51:24,CARR-8206,Handle with care
PO-967787,Dallas DC,Berlin Factory,DELIVERED,246964.74,2026-03-25 19:51:24,CARR-7006,
PO-695907,Berlin Factory,Tokyo Port,AT_PORT,69257.77,2026-03-23 19:51:24,CARR-9679,
PO-229846,Rotterdam,Tokyo Port,IN_TRANSIT,165726.39,2026-04-16 19:51:24,CARR-1592,
PO-521160,Dallas DC,Rotterdam,IN_TRANSIT,104148.37,2026-03-14 19:51:24,CARR-1347,Handle with care
PO-731930,Rotterdam,Dallas DC,CUSTOMS_HOLD,229188.85,2026-04-03 19:51:24,CARR-2412,
PO-870126,Tokyo Port,Dallas DC,DELAYED,210401.55,2026-03-23 19:51:24,CARR-2091,
PO-408706,Los Angeles Port,Tokyo Port,IN_TRANSIT,143998.74,2026-04-15 19:51:24,CARR-8692,
PO-367491,Rotterdam,Shanghai Port,IN_TRANSIT,235497.02,2026-04-05 19:51:24,CARR-8482,
PO-721867,Dallas DC,Rotterdam,AT_PORT,158096.9,2026-03-13 19:51:24,CARR-5211,
PO-711927,Berlin Factory,Dallas DC,IN_TRANSIT,65035.57,2026-03-31 19:51:24,CARR-5573,
PO-763494,Los Angeles Port,Dallas DC,DELAYED,22379.19,2026-03-15 19:51:24,CARR-6162,
PO-332498,Rotterdam,Tokyo Port,IN_TRANSIT,11731.85,2026-03-16 19:51:24,CARR-8529,Handle with care
PO-377003,Dallas DC,Los Angeles Port,AT_PORT,206216.46,2026-04-06 19:51:24,CARR-4347,
PO-465316,Shanghai Port,Tokyo Port,AT_PORT,42042.98,2026-04-12 19:51:24,CARR-1477,
PO-743195,Los Angeles Port,Dallas DC,DELAYED,33020.14,2026-03-25 19:51:24,CARR-4846,
PO-942220,Tokyo Port,Dallas DC,IN_TRANSIT,193600.47,2026-04-11 19:51:24,CARR-9211,
PO-461134,Dallas DC,Rotterdam,DELAYED,91649.32,2026-04-04 19:51:24,CARR-6165,
PO-190603,Berlin Factory,Rotterdam,IN_TRANSIT,64136.8,2026-04-10 19:51:24,CARR-5276,Handle with care
PO-176541,Berlin Factory,Tokyo Port,IN_TRANSIT,196335.44,2026-04-18 19:51:24,CARR-6309,
PO-832365,Rotterdam,Shanghai Port,IN_TRANSIT,167813.63,2026-03-18 19:51:24,CARR-9338,
PO-295818,Berlin Factory,Los Angeles Port,IN_TRANSIT,108892.71,2026-04-10 19:51:24,CARR-9403,
PO-584685,Shanghai Port,Los Angeles Port,IN_TRANSIT,146881.1,2026-03-27 19:51:24,CARR-1517,
PO-986035,Shanghai Port,Tokyo Port,IN_TRANSIT,167293.89,2026-04-11 19:51:24,CARR-2238,
PO-621126,Shanghai Port,Rotterdam,DELIVERED,36284.79,2026-03-16 19:51:24,CARR-6424,
PO-693835,Tokyo Port,Berlin Factory,DELAYED,122374.96,2026-03-19 19:51:24,CARR-5723,
PO-917219,Dallas DC,Rotterdam,IN_TRANSIT,93122.01,2026-03-26 19:51:24,CARR-4162,Handle with care
PO-497179,Rotterdam,Dallas DC,IN_TRANSIT,62884.01,2026-03-18 19:51:24,CARR-4814,
PO-599813,Berlin Factory,Dallas DC,IN_TRANSIT,20342.19,2026-04-19 19:51:24,CARR-6428,
PO-919676,Shanghai Port,Tokyo Port,IN_TRANSIT,165223.99,2026-03-15 19:51:24,CARR-9717,
PO-342431,Tokyo Port,Shanghai Port,AT_PORT,24916.75,2026-03-28 19:51:24,CARR-6841,
PO-934541,Dallas DC,Shanghai Port,AT_PORT,60462.27,2026-04-19 19:51:24,CARR-8302,
PO-305375,Dallas DC,Berlin Factory,DELAYED,146380.76,2026-04-17 19:51:24,CARR-8877,
PO-672767,Los Angeles Port,Rotterdam,IN_TRANSIT,187961.97,2026-04-17 19:51:24,CARR-1819,
PO-777231,Berlin Factory,Shanghai Port,DELAYED,67110.99,2026-04-10 19:51:24,CARR-8755,
PO-439900,Tokyo Port,Rotterdam,DELAYED,226081.38,2026-03-25 19:51:24,CARR-2576,
PO-756820,Rotterdam,Tokyo Port,IN_TRANSIT,13995.54,2026-04-13 19:51:24,CARR-1189,
PO-187911,Rotterdam,Los Angeles Port,DELAYED,129711.16,2026-04-22 19:51:24,CARR-7331,Handle with care
PO-618943,Shanghai Port,Los Angeles Port,DELAYED,43555.29,2026-03-21 19:51:24,CARR-3945,
PO-349823,Los Angeles Port,Shanghai Port,IN_TRANSIT,35586.45,2026-04-16 19:51:24,CARR-3902,
PO-356561,Tokyo Port,Dallas DC,DELAYED,49617.17,2026-03-27 19:51:24,CARR-3618,Handle with care
PO-673359,Dallas DC,Rotterdam,IN_TRANSIT,243551.74,2026-04-13 19:51:24,CARR-9001,
PO-964658,Berlin Factory,Shanghai Port,AT_PORT,144747.2,2026-04-14 19:51:24,CARR-6547,
PO-414468,Tokyo Port,Dallas DC,IN_TRANSIT,44119.35,2026-03-26 19:51:24,CARR-9105,
PO-752747,Berlin Factory,Tokyo Port,IN_TRANSIT,54532.75,2026-04-03 19:51:24,CARR-1747,Handle with care
PO-542807,Dallas DC,Berlin Factory,DELIVERED,113551.2,2026-04-11 19:51:24,CARR-4653,
PO-131582,Dallas DC,Tokyo Port,IN_TRANSIT,166688.95,2026-04-15 19:51:24,CARR-6628,
PO-880193,Rotterdam,Dallas DC,DELIVERED,209153.3,2026-03-23 19:51:24,CARR-8375,
PO-406596,Los Angeles Port,Berlin Factory,AT_PORT,54721.41,2026-03-28 19:51:24,CARR-3199,
PO-636899,Shanghai Port,Berlin Factory,IN_TRANSIT,67772.09,2026-04-19 19:51:24,CARR-2768,Handle with care
PO-930864,Tokyo Port,Dallas DC,DELAYED,23347.37,2026-04-20 19:51:24,CARR-2038,
PO-332080,Rotterdam,Dallas DC,IN_TRANSIT,240967.42,2026-04-05 19:51:24,CARR-9196,
PO-272306,Dallas DC,Rotterdam,DELIVERED,181015.24,2026-03-29 19:51:24,CARR-9949,
PO-800369,Los Angeles Port,Berlin Factory,AT_PORT,100674.11,2026-04-09 19:51:24,CARR-7371,
PO-723630,Los Angeles Port,Berlin Factory,IN_TRANSIT,129812.24,2026-03-28 19:51:24,CARR-1579,Handle with care
PO-566140,Dallas DC,Berlin Factory,IN_TRANSIT,189124.26,2026-03-24 19:51:24,CARR-8484,Handle with care
PO-701777,Rotterdam,Berlin Factory,IN_TRANSIT,43140.78,2026-03-19 19:51:24,CARR-4133,
PO-147087,Los Angeles Port,Dallas DC,IN_TRANSIT,225609.08,2026-03-30 19:51:24,CARR-9875,
PO-219279,Tokyo Port,Berlin Factory,AT_PORT,209304.48,2026-04-06 19:51:24,CARR-9854,Handle with care
PO-552438,Los Angeles Port,Rotterdam,IN_TRANSIT,156868.86,2026-04-12 19:51:24,CARR-9248,
PO-325705,Shanghai Port,Berlin Factory,AT_PORT,221192.83,2026-03-28 19:51:24,CARR-1202,
PO-340242,Rotterdam,Shanghai Port,DELAYED,179959.8,2026-03-23 19:51:24,CARR-2409,
PO-561692,Tokyo Port,Shanghai Port,CUSTOMS_HOLD,7181.11,2026-04-01 19:51:24,CARR-4296,
PO-262314,Los Angeles Port,Rotterdam,IN_TRANSIT,192834.94,2026-03-25 19:51:24,CARR-4098,
PO-496689,Los Angeles Port,Dallas DC,IN_TRANSIT,64667.27,2026-04-17 19:51:24,CARR-4573,
PO-325601,Rotterdam,Tokyo Port,IN_TRANSIT,20311.05,2026-03-19 19:51:24,CARR-1284,Handle with care
PO-977468,Rotterdam,Shanghai Port,CUSTOMS_HOLD,64588.71,2026-03-29 19:51:24,CARR-9812,
PO-690004,Rotterdam,Dallas DC,IN_TRANSIT,16856.4,2026-04-04 19:51:24,CARR-6096,
PO-949076,Berlin Factory,Rotterdam,CUSTOMS_HOLD,170165.85,2026-04-11 19:51:24,CARR-5524,Handle with care
PO-881013,Rotterdam,Shanghai Port,IN_TRANSIT,176225.15,2026-04-10 19:51:24,CARR-4986,
PO-315827,Berlin Factory,Rotterdam,IN_TRANSIT,76884.25,2026-03-18 19:51:24,CARR-3759,
PO-311196,Dallas DC,Rotterdam,DELAYED,58944.03,2026-03-15 19:51:24,CARR-4686,
PO-597551,Shanghai Port,Berlin Factory,IN_TRANSIT,222983.05,2026-03-29 19:51:24,CARR-9955,
PO-559856,Los Angeles Port,Tokyo Port,IN_TRANSIT,135987.24,2026-03-30 19:51:24,CARR-9765,
PO-321497,Los Angeles Port,Rotterdam,IN_TRANSIT,160018.02,2026-03-15 19:51:24,CARR-1623,
PO-414763,Tokyo Port,Dallas DC,IN_TRANSIT,185618.58,2026-04-14 19:51:24,CARR-9872,
PO-999190,Tokyo Port,Berlin Factory,IN_TRANSIT,163376.36,2026-03-27 19:51:24,CARR-2334,
PO-559166,Rotterdam,Shanghai Port,DELAYED,135558.58,2026-04-20 19:51:24,CARR-5678,
PO-733687,Rotterdam,Dallas DC,IN_TRANSIT,243552.49,2026-03-30 19:51:24,CARR-7574,
PO-194909,Tokyo Port,Rotterdam,IN_TRANSIT,12913.75,2026-04-15 19:51:24,CARR-2549,Handle with care
PO-338732,Shanghai Port,Berlin Factory,DELIVERED,185723.93,2026-03-18 19:51:24,CARR-4330,
PO-929561,Shanghai Port,Berlin Factory,IN_TRANSIT,32852.09,2026-03-16 19:51:24,CARR-4423,
PO-327358,Tokyo Port,Rotterdam,CUSTOMS_HOLD,138574.23,2026-03-28 19:51:24,CARR-9710,
PO-280898,Los Angeles Port,Dallas DC,DELAYED,228575.55,2026-03-18 19:51:24,CARR-9497,
PO-184103,Tokyo Port,Shanghai Port,IN_TRANSIT,206511.08,2026-03-18 19:51:24,CARR-5991,
PO-443639,Los Angeles Port,Rotterdam,DELIVERED,180037.73,2026-03-29 19:51:24,CARR-3763,
PO-906547,Rotterdam,Berlin Factory,CUSTOMS_HOLD,220259.17,2026-04-15 19:51:24,CARR-1999,Handle with care
PO-772202,Los Angeles Port,Tokyo Port,IN_TRANSIT,154575.12,2026-03-29 19:51:24,CARR-8320,
PO-222703,Los Angeles Port,Rotterdam,IN_TRANSIT,168419.74,2026-03-31 19:51:24,CARR-8138,Handle with care
PO-540082,Rotterdam,Berlin Factory,DELIVERED,40826.27,2026-04-19 19:51:24,CARR-9570,Handle with care
PO-271183,Rotterdam,Tokyo Port,DELIVERED,200963.14,2026-04-09 19:51:24,CARR-1055,
PO-149848,Tokyo Port,Berlin Factory,IN_TRANSIT,172786.23,2026-03-22 19:51:24,CARR-2824,
PO-461281,Los Angeles Port,Berlin Factory,CUSTOMS_HOLD,229962.62,2026-04-17 19:51:24,CARR-3302,
PO-668880,Los Angeles Port,Berlin Factory,IN_TRANSIT,145367.79,2026-03-24 19:51:24,CARR-7124,
PO-312282,Los Angeles Port,Rotterdam,DELIVERED,64639.38,2026-04-22 19:51:24,CARR-7298,
PO-342445,Los Angeles Port,Dallas DC,DELAYED,228450.89,2026-04-14 19:51:24,CARR-5038,
PO-791850,Rotterdam,Dallas DC,AT_PORT,163242.43,2026-03-14 19:51:24,CARR-4338,
PO-726298,Tokyo Port,Berlin Factory,AT_PORT,238761.06,2026-03-13 19:51:24,CARR-5631,
PO-724446,Dallas DC,Tokyo Port,AT_PORT,184429.82,2026-03-29 19:51:24,CARR-6262,
PO-850170,Berlin Factory,Los Angeles Port,IN_TRANSIT,66583.36,2026-03-19 19:51:24,CARR-2551,
PO-245631,Shanghai Port,Dallas DC,IN_TRANSIT,247942.06,2026-04-04 19:51:24,CARR-3066,Handle with care
PO-778122,Berlin Factory,Dallas DC,DELAYED,39212.91,2026-04-12 19:51:24,CARR-7473,
PO-802483,Rotterdam,Shanghai Port,IN_TRANSIT,102849.52,2026-04-09 19:51:24,CARR-9346,
PO-783704,Tokyo Port,Shanghai Port,AT_PORT,167969.11,2026-04-18 19:51:24,CARR-6547,Handle with care
PO-557498,Los Angeles Port,Berlin Factory,AT_PORT,227396.4,2026-04-21 19:51:24,CARR-9284,
PO-809762,Shanghai Port,Rotterdam,IN_TRANSIT,226573.07,2026-04-01 19:51:24,CARR-7176,Handle with care
PO-558438,Rotterdam,Berlin Factory,CUSTOMS_HOLD,35203.9,2026-04-02 19:51:24,CARR-6550,
PO-268325,Tokyo Port,Berlin Factory,DELIVERED,77029.2,2026-03-18 19:51:24,CARR-4017,
PO-718687,Rotterdam,Dallas DC,AT_PORT,144835.96,2026-04-01 19:51:24,CARR-9250,
PO-444543,Shanghai Port,Dallas DC,AT_PORT,75016.91,2026-04-11 19:51:24,CARR-3008,
PO-503595,Rotterdam,Berlin Factory,IN_TRANSIT,73751.87,2026-04-21 19:51:24,CARR-5218,Handle with care
PO-319303,Los Angeles Port,Rotterdam,IN_TRANSIT,75683.4,2026-03-18 19:51:24,CARR-2910,
PO-299536,Shanghai Port,Berlin Factory,DELIVERED,75210.26,2026-04-17 19:51:24,CARR-1173,
PO-592085,Dallas DC,Shanghai Port,DELIVERED,31406.25,2026-03-25 19:51:24,CARR-6197,
PO-781274,Tokyo Port,Shanghai Port,IN_TRANSIT,86137.68,2026-04-09 19:51:24,CARR-3041,
PO-377960,Los Angeles Port,Shanghai Port,IN_TRANSIT,71138.41,2026-04-04 19:51:24,CARR-9248,
PO-218313,Tokyo Port,Shanghai Port,IN_TRANSIT,159799.89,2026-03-13 19:51:24,CARR-5268,
PO-416488,Rotterdam,Los Angeles Port,AT_PORT,7167.84,2026-03-13 19:51:24,CARR-1658,
PO-530933,Rotterdam,Tokyo Port,DELAYED,63538.87,2026-04-19 19:51:24,CARR-1052,
PO-613044,Tokyo Port,Berlin Factory,IN_TRANSIT,91926.45,2026-03-17 19:51:24,CARR-5686,Handle with care
PO-929360,Los Angeles Port,Shanghai Port,AT_PORT,118400.49,2026-03-19 19:51:24,CARR-1137,
PO-993537,Los Angeles Port,Rotterdam,IN_TRANSIT,82207.09,2026-04-12 19:51:24,CARR-5071,
PO-590777,Tokyo Port,Dallas DC,IN_TRANSIT,215676.44,2026-04-07 19:51:24,CARR-3775,
