Warehouse ID,Item Number,QOH,Incoming,Safety Limit,Bin Location
Berlin Factory,SKU-997,7475,154,216,BIN-26
Dallas DC,SKU-207,8408,9,101,BIN-24
Dallas DC,SKU-149,3761,86,459,BIN-19
Dallas DC,SKU-603,4833,226,414,BIN-38
Tokyo Port,SKU-916,7602,322,485,BIN-35
Dallas DC,SKU-374,9269,201,486,BIN-15
Dallas DC,SKU-745,9806,321,270,BIN-21
Dallas DC,SKU-349,3121,82,371,BIN-11
Dallas DC,SKU-926,9864,202,398,BIN-14
Dallas DC,SKU-452,2308,443,215,BIN-7
Berlin Factory,SKU-751,3923,378,202,BIN-8
Tokyo Port,SKU-189,8449,485,409,BIN-23
Dallas DC,SKU-932,3814,18,364,BIN-6
Dallas DC,SKU-358,4606,72,149,BIN-7
Dallas DC,SKU-278,9569,91,220,BIN-2
Berlin Factory,SKU-845,5623,493,302,BIN-32
Berlin Factory,SKU-451,344,186,392,BIN-22
Dallas DC,SKU-494,3734,310,496,BIN-1
Dallas DC,SKU-637,5677,201,166,BIN-17
Dallas DC,SKU-276,7758,126,146,BIN-24
Berlin Factory,SKU-983,4608,497,134,BIN-36
Berlin Factory,SKU-383,8792,437,375,BIN-22
Berlin Factory,SKU-115,4510,109,201,BIN-4
Dallas DC,SKU-421,5454,128,251,BIN-30
Tokyo Port,SKU-543,5652,472,449,BIN-33
Tokyo Port,SKU-492,43,49,138,BIN-15
Berlin Factory,SKU-342,9352,402,218,BIN-29
Berlin Factory,SKU-381,5517,154,490,BIN-2
Dallas DC,SKU-891,1861,176,291,BIN-33
Dallas DC,SKU-180,5592,478,342,BIN-4
Berlin Factory,SKU-156,6706,323,101,BIN-16
Berlin Factory,SKU-375,7973,30,225,BIN-16
Berlin Factory,SKU-699,3172,146,247,BIN-33
Dallas DC,SKU-429,5040,453,409,BIN-19
Dallas DC,SKU-914,968,207,218,BIN-29
Dallas DC,SKU-254,5561,0,208,BIN-36
Berlin Factory,SKU-614,5565,258,170,BIN-21
Berlin Factory,SKU-909,7587,375,305,BIN-37
Dallas DC,SKU-834,8004,172,366,BIN-7
Tokyo Port,SKU-665,3525,181,345,BIN-33
Tokyo Port,SKU-551,139,98,349,BIN-29
Tokyo Port,SKU-456,6852,82,114,BIN-28
Dallas DC,SKU-785,4757,35,141,BIN-40
Dallas DC,SKU-103,3888,103,304,BIN-1
Tokyo Port,SKU-249,3737,475,227,BIN-2
Tokyo Port,SKU-595,1357,42,400,BIN-13
Dallas DC,SKU-130,8338,22,429,BIN-3
Berlin Factory,SKU-816,960,337,279,BIN-16
Berlin Factory,SKU-655,7346,72,439,BIN-1
Dallas DC,SKU-488,3657,56,431,BIN-5
Berlin Factory,SKU-260,3225,227,151,BIN-25
Berlin Factory,SKU-676,7435,400,479,BIN-2
Tokyo Port,SKU-621,8825,457,327,BIN-17
Tokyo Port,SKU-467,4011,109,117,BIN-30
Berlin Factory,SKU-533,496,115,363,BIN-34
Dallas DC,SKU-653,372,361,199,BIN-17
Berlin Factory,SKU-584,7004,58,462,BIN-30
Dallas DC,SKU-725,3518,276,304,BIN-24
Tokyo Port,SKU-784,6455,315,328,BIN-34
Tokyo Port,SKU-286,4514,3,352,BIN-25
Tokyo Port,SKU-909,4066,371,454,BIN-36
Tokyo Port,SKU-352,4937,165,402,BIN-8
Berlin Factory,SKU-415,3835,418,396,BIN-1
Tokyo Port,SKU-524,9804,220,308,BIN-23
Tokyo Port,SKU-330,8502,493,462,BIN-34
Berlin Factory,SKU-226,2665,227,339,BIN-13
Berlin Factory,SKU-732,1007,174,324,BIN-29
Dallas DC,SKU-639,2465,449,185,BIN-9
Dallas DC,SKU-907,4974,331,210,BIN-13
Berlin Factory,SKU-588,8699,483,469,BIN-6
Tokyo Port,SKU-618,5519,3,272,BIN-34
Berlin Factory,SKU-650,335,478,234,BIN-3
Berlin Factory,SKU-973,123,40,436,BIN-13
Dallas DC,SKU-548,8741,59,127,BIN-39
Dallas DC,SKU-361,3582,415,251,BIN-21
Berlin Factory,SKU-772,7330,209,447,BIN-21
Berlin Factory,SKU-660,7714,287,245,BIN-2
Tokyo Port,SKU-312,8268,139,259,BIN-30
Berlin Factory,SKU-175,7263,236,122,BIN-11
Tokyo Port,SKU-103,590,284,138,BIN-14
Berlin Factory,SKU-575,3947,95,425,BIN-14
Tokyo Port,SKU-975,9201,13,329,BIN-10
Tokyo Port,SKU-419,8480,388,477,BIN-39
Berlin Factory,SKU-262,6304,205,280,BIN-34
Berlin Factory,SKU-854,6242,368,356,BIN-37
Berlin Factory,SKU-143,9104,44,315,BIN-20
Dallas DC,SKU-480,5583,370,386,BIN-39
Berlin Factory,SKU-577,2211,493,116,BIN-26
Tokyo Port,SKU-541,1067,291,484,BIN-8
Tokyo Port,SKU-714,4906,457,461,BIN-15
Tokyo Port,SKU-820,9473,242,294,BIN-31
Dallas DC,SKU-712,9253,202,347,BIN-34
Tokyo Port,SKU-572,9847,450,460,BIN-30
Berlin Factory,SKU-784,6891,206,405,BIN-39
Tokyo Port,SKU-936,4658,484,293,BIN-22
Tokyo Port,SKU-951,1352,46,344,BIN-31
Berlin Factory,SKU-887,1381,105,450,BIN-14
Dallas DC,SKU-582,1799,477,428,BIN-39
Tokyo Port,SKU-222,631,196,434,BIN-4
Berlin Factory,SKU-796,1443,171,118,BIN-14
Tokyo Port,SKU-767,8700,255,322,BIN-8
Tokyo Port,SKU-646,2740,338,296,BIN-29
Berlin Factory,SKU-608,3884,283,474,BIN-18
Berlin Factory,SKU-715,120,28,206,BIN-2
Tokyo Port,SKU-345,5796,260,270,BIN-34
Berlin Factory,SKU-130,5017,466,113,BIN-22
Tokyo Port,SKU-721,9471,495,349,BIN-31
Berlin Factory,SKU-503,6902,315,102,BIN-21
Dallas DC,SKU-221,4030,50,286,BIN-6
Tokyo Port,SKU-157,8620,362,126,BIN-36
Dallas DC,SKU-468,8818,5,113,BIN-4
Berlin Factory,SKU-806,4602,241,418,BIN-40
Berlin Factory,SKU-660,3899,65,225,BIN-2
Dallas DC,SKU-561,1208,263,402,BIN-8
Tokyo Port,SKU-576,6563,153,125,BIN-3
Tokyo Port,SKU-377,4514,219,460,BIN-29
Tokyo Port,SKU-527,3179,39,221,BIN-25
Berlin Factory,SKU-589,95,183,448,BIN-4
Dallas DC,SKU-658,3703,249,106,BIN-16
Berlin Factory,SKU-840,2829,490,391,BIN-40
Dallas DC,SKU-134,1087,449,274,BIN-22
Dallas DC,SKU-440,2468,404,318,BIN-9
Dallas DC,SKU-645,188,426,201,BIN-31
Dallas DC,SKU-974,4627,437,248,BIN-33
Tokyo Port,SKU-174,3102,297,260,BIN-9
Dallas DC,SKU-829,5860,404,228,BIN-13
Tokyo Port,SKU-461,572,168,487,BIN-29
Dallas DC,SKU-233,1922,119,273,BIN-6
Dallas DC,SKU-258,1660,334,133,BIN-13
Tokyo Port,SKU-852,9498,175,167,BIN-2
Tokyo Port,SKU-430,9290,231,164,BIN-2
Tokyo Port,SKU-754,5270,275,120,BIN-22
Tokyo Port,SKU-711,537,24,348,BIN-25
Dallas DC,SKU-213,713,19,203,BIN-2
Berlin Factory,SKU-261,4494,21,194,BIN-21
Berlin Factory,SKU-626,7009,349,451,BIN-36
Dallas DC,SKU-260,5864,224,315,BIN-16
Dallas DC,SKU-864,5235,46,227,BIN-2
Dallas DC,SKU-490,9190,66,329,BIN-19
Berlin Factory,SKU-995,1262,368,303,BIN-10
Berlin Factory,SKU-344,7343,440,191,BIN-40
Dallas DC,SKU-582,9271,137,264,BIN-12
Dallas DC,SKU-810,2951,143,358,BIN-14
Tokyo Port,SKU-414,938,25,390,BIN-33
Dallas DC,SKU-819,4758,374,375,BIN-27
Dallas DC,SKU-360,4895,294,306,BIN-34
Tokyo Port,SKU-733,371,119,186,BIN-35
Berlin Factory,SKU-393,864,377,228,BIN-28
Dallas DC,SKU-100,9411,111,128,BIN-27
Berlin Factory,SKU-350,5529,284,184,BIN-19
Tokyo Port,SKU-462,3090,363,266,BIN-8
Dallas DC,SKU-941,6407,194,380,BIN-18
Dallas DC,SKU-115,1515,456,264,BIN-26
Tokyo Port,SKU-790,5034,332,292,BIN-37
Berlin Factory,SKU-633,3542,323,135,BIN-27
Tokyo Port,SKU-344,7346,153,273,BIN-3
Tokyo Port,SKU-466,767,27,412,BIN-39
Berlin Factory,SKU-990,3549,355,444,BIN-24
Tokyo Port,SKU-563,2010,129,322,BIN-23
Berlin Factory,SKU-953,3345,112,189,BIN-1
Berlin Factory,SKU-627,7535,96,424,BIN-16
Tokyo Port,SKU-441,6610,427,136,BIN-23
Dallas DC,SKU-563,8224,220,338,BIN-34
Berlin Factory,SKU-223,9966,225,169,BIN-4
Tokyo Port,SKU-403,970,493,497,BIN-7
Tokyo Port,SKU-656,5727,361,277,BIN-6
Dallas DC,SKU-302,3091,201,253,BIN-35
Tokyo Port,SKU-619,5889,129,293,BIN-12
Tokyo Port,SKU-986,8449,129,167,BIN-14
Tokyo Port,SKU-755,3745,59,103,BIN-15
Berlin Factory,SKU-844,6265,322,385,BIN-40
Dallas DC,SKU-638,5103,399,293,BIN-6
Berlin Factory,SKU-461,6555,41,230,BIN-2
Dallas DC,SKU-325,6232,238,198,BIN-1
Dallas DC,SKU-809,5235,70,239,BIN-39
Tokyo Port,SKU-944,2877,0,355,BIN-20
Berlin Factory,SKU-459,4974,336,416,BIN-26
Berlin Factory,SKU-351,1673,320,374,BIN-5
Tokyo Port,SKU-448,4117,254,375,BIN-37
Berlin Factory,SKU-570,9305,296,205,BIN-13
Berlin Factory,SKU-197,7687,378,339,BIN-27
Tokyo Port,SKU-184,1214,259,325,BIN-7
Tokyo Port,SKU-320,1198,287,374,BIN-39
Tokyo Port,SKU-137,8028,342,417,BIN-10
Tokyo Port,SKU-613,9447,324,143,BIN-5
Tokyo Port,SKU-574,6455,53,317,BIN-8
Tokyo Port,SKU-879,8212,490,446,BIN-29
Tokyo Port,SKU-166,959,341,243,BIN-17
Dallas DC,SKU-242,3793,308,416,BIN-17
Tokyo Port,SKU-460,9391,267,217,BIN-23
Dallas DC,SKU-124,4477,422,321,BIN-27
Tokyo Port,SKU-138,3487,83,249,BIN-1
Berlin Factory,SKU-441,6901,371,478,BIN-36
Berlin Factory,SKU-276,9759,295,402,BIN-22
Dallas DC,SKU-796,5451,22,267,BIN-30
Berlin Factory,SKU-291,5537,191,446,BIN-4
Dallas DC,SKU-552,6001,482,265,BIN-30
Dallas DC,SKU-457,7390,324,474,BIN-2
Tokyo Port,SKU-992,5994,377,224,BIN-39
Berlin Factory,SKU-119,2434,319,335,BIN-18
Berlin Factory,SKU-869,7089,29,283,BIN-39
Tokyo Port,SKU-242,2772,204,224,BIN-39
Dallas DC,SKU-249,639,372,464,BIN-29
Tokyo Port,SKU-275,1621,473,432,BIN-2
Dallas DC,SKU-164,9721,482,476,BIN-39
Berlin Factory,SKU-297,6752,173,383,BIN-40
Tokyo Port,SKU-501,5594,392,453,BIN-17
Tokyo Port,SKU-994,2020,146,306,BIN-12
Dallas DC,SKU-278,9674,44,263,BIN-19
Tokyo Port,SKU-196,5162,184,427,BIN-32
Berlin Factory,SKU-383,1375,334,100,BIN-40
Dallas DC,SKU-969,2164,284,255,BIN-27
Tokyo Port,SKU-716,1012,460,446,BIN-33
Tokyo Port,SKU-887,5035,126,455,BIN-16
Berlin Factory,SKU-800,1443,180,429,BIN-30
Tokyo Port,SKU-954,1942,318,455,BIN-27
Berlin Factory,SKU-894,9444,107,332,BIN-39
Berlin Factory,SKU-169,8733,196,212,BIN-1
Dallas DC,SKU-624,2985,114,500,BIN-3
Dallas DC,SKU-614,9810,349,195,BIN-18
Dallas DC,SKU-406,9495,323,166,BIN-38
Tokyo Port,SKU-449,3031,114,374,BIN-1
Tokyo Port,SKU-649,4318,488,260,BIN-27
Dallas DC,SKU-169,446,143,207,BIN-2
Berlin Factory,SKU-656,1493,336,252,BIN-17
Tokyo Port,SKU-216,5655,110,437,BIN-17
Berlin Factory,SKU-252,1747,62,141,BIN-9
Tokyo Port,SKU-849,3717,91,344,BIN-32
Tokyo Port,SKU-675,793,450,131,BIN-27
Berlin Factory,SKU-231,4010,184,222,BIN-6
Berlin Factory,SKU-254,5541,97,227,BIN-24
Dallas DC,SKU-457,5724,375,342,BIN-36
Dallas DC,SKU-622,7037,97,351,BIN-34
Berlin Factory,SKU-466,429,292,317,BIN-11
Dallas DC,SKU-785,1891,465,377,BIN-20
Dallas DC,SKU-380,7466,105,278,BIN-38
Berlin Factory,SKU-622,2163,0,310,BIN-11
Dallas DC,SKU-507,9383,403,287,BIN-3
Dallas DC,SKU-465,683,68,101,BIN-2
Tokyo Port,SKU-632,8940,93,238,BIN-3
Berlin Factory,SKU-421,8357,49,338,BIN-10
Tokyo Port,SKU-451,8151,119,184,BIN-33
Berlin Factory,SKU-879,3978,319,362,BIN-21
Berlin Factory,SKU-458,620,412,160,BIN-14
Dallas DC,SKU-572,5446,289,256,BIN-14
Dallas DC,SKU-455,5382,179,184,BIN-24
Dallas DC,SKU-602,4953,464,412,BIN-2
Tokyo Port,SKU-984,5076,225,481,BIN-12
Tokyo Port,SKU-901,3032,402,152,BIN-12
Dallas DC,SKU-852,4086,347,363,BIN-39
Tokyo Port,SKU-330,7243,222,385,BIN-17
Dallas DC,SKU-664,7699,89,417,BIN-15
Dallas DC,SKU-577,4363,150,115,BIN-2
Berlin Factory,SKU-721,275,10,493,BIN-30
Berlin Factory,SKU-518,8194,7,284,BIN-7
Tokyo Port,SKU-965,4233,440,133,BIN-37
Dallas DC,SKU-101,7677,118,260,BIN-5
Berlin Factory,SKU-416,6894,252,249,BIN-20
Berlin Factory,SKU-419,2043,129,287,BIN-31
Berlin Factory,SKU-101,995,208,256,BIN-3
Dallas DC,SKU-746,7107,249,168,BIN-15
Tokyo Port,SKU-824,1088,386,227,BIN-29
Berlin Factory,SKU-686,4890,451,351,BIN-40
Dallas DC,SKU-655,5273,211,155,BIN-21
Dallas DC,SKU-199,2129,312,362,BIN-10
Tokyo Port,SKU-756,2783,379,173,BIN-26
Tokyo Port,SKU-252,7076,65,283,BIN-9
Dallas DC,SKU-188,6872,282,344,BIN-13
Dallas DC,SKU-328,7313,241,408,BIN-27
Dallas DC,SKU-987,3271,72,476,BIN-21
Tokyo Port,SKU-615,9748,281,183,BIN-20
Berlin Factory,SKU-253,1814,247,354,BIN-1
Berlin Factory,SKU-136,1968,385,462,BIN-2
Dallas DC,SKU-755,7053,250,448,BIN-20
Dallas DC,SKU-163,4762,61,263,BIN-39
Berlin Factory,SKU-317,5627,201,500,BIN-23
Dallas DC,SKU-207,9140,295,157,BIN-39
Tokyo Port,SKU-289,5245,64,338,BIN-24
Tokyo Port,SKU-879,1725,373,356,BIN-16
Dallas DC,SKU-125,5879,295,392,BIN-25
Dallas DC,SKU-303,8770,80,277,BIN-35
Dallas DC,SKU-899,6656,154,181,BIN-19
Berlin Factory,SKU-422,8584,248,449,BIN-5
Berlin Factory,SKU-648,9001,383,478,BIN-3
Berlin Factory,SKU-555,3782,338,251,BIN-18
Berlin Factory,SKU-378,1519,447,152,BIN-16
Berlin Factory,SKU-923,7692,409,411,BIN-6
Berlin Factory,SKU-935,2715,49,420,BIN-22
Berlin Factory,SKU-213,3245,463,380,BIN-35
Dallas DC,SKU-483,329,418,134,BIN-16
Berlin Factory,SKU-944,2696,319,371,BIN-35
Berlin Factory,SKU-916,8381,476,192,BIN-14
Tokyo Port,SKU-614,5242,277,390,BIN-20
Dallas DC,SKU-374,3330,439,403,BIN-7
Berlin Factory,SKU-564,2584,422,225,BIN-20
Dallas DC,SKU-124,5757,228,444,BIN-31
Berlin Factory,SKU-515,3973,425,496,BIN-37
Berlin Factory,SKU-638,6546,148,235,BIN-14
Berlin Factory,SKU-831,4082,102,277,BIN-38
Dallas DC,SKU-282,1145,72,408,BIN-9
Berlin Factory,SKU-940,617,252,214,BIN-12
Dallas DC,SKU-161,2854,138,235,BIN-8
Berlin Factory,SKU-870,2150,239,383,BIN-24
Dallas DC,SKU-812,2504,211,299,BIN-12
Berlin Factory,SKU-980,8621,132,109,BIN-9
Dallas DC,SKU-692,9173,219,247,BIN-24
Dallas DC,SKU-340,7873,472,444,BIN-5
Tokyo Port,SKU-889,1659,399,250,BIN-39
Berlin Factory,SKU-259,6687,395,255,BIN-1
Dallas DC,SKU-362,7574,421,269,BIN-28
Berlin Factory,SKU-912,3517,150,153,BIN-2
Tokyo Port,SKU-278,2835,208,225,BIN-18
Berlin Factory,SKU-192,1379,66,128,BIN-29
Tokyo Port,SKU-707,5462,151,294,BIN-35
Dallas DC,SKU-520,102,87,278,BIN-35
Dallas DC,SKU-584,9706,141,341,BIN-16
Berlin Factory,SKU-126,213,219,210,BIN-17
Dallas DC,SKU-671,6643,362,227,BIN-11
Tokyo Port,SKU-935,753,118,467,BIN-28
Tokyo Port,SKU-340,3568,297,469,BIN-9
Tokyo Port,SKU-214,6802,132,116,BIN-19
Berlin Factory,SKU-936,9037,334,124,BIN-36
Tokyo Port,SKU-636,5862,243,335,BIN-24
Dallas DC,SKU-502,8807,261,165,BIN-19
Berlin Factory,SKU-386,2287,228,437,BIN-5
Dallas DC,SKU-159,7707,447,426,BIN-8
Berlin Factory,SKU-928,4866,364,438,BIN-37
Tokyo Port,SKU-466,5395,129,330,BIN-17
Tokyo Port,SKU-922,5921,272,428,BIN-33
Tokyo Port,SKU-673,4768,198,492,BIN-18
Dallas DC,SKU-281,4121,36,383,BIN-16
Berlin Factory,SKU-325,8731,498,499,BIN-17
Tokyo Port,SKU-770,2745,126,174,BIN-38
Dallas DC,SKU-270,837,388,186,BIN-4
Tokyo Port,SKU-607,1079,435,377,BIN-39
Tokyo Port,SKU-134,2980,297,247,BIN-3
Tokyo Port,SKU-326,5994,2,128,BIN-16
Tokyo Port,SKU-412,6818,52,301,BIN-24
Berlin Factory,SKU-973,410,287,133,BIN-34
Tokyo Port,SKU-949,4722,302,460,BIN-14
Dallas DC,SKU-506,7906,130,440,BIN-4
Dallas DC,SKU-982,6853,154,386,BIN-15
Tokyo Port,SKU-355,1463,15,106,BIN-27
Berlin Factory,SKU-720,5081,339,153,BIN-37
Dallas DC,SKU-599,379,205,141,BIN-25
Tokyo Port,SKU-601,7263,90,140,BIN-35
Berlin Factory,SKU-820,2365,308,300,BIN-5
Dallas DC,SKU-812,8556,134,209,BIN-20
Dallas DC,SKU-742,6550,490,210,BIN-35
Berlin Factory,SKU-235,2867,414,433,BIN-38
Dallas DC,SKU-166,7012,335,209,BIN-35
Tokyo Port,SKU-842,2643,113,408,BIN-40
Dallas DC,SKU-280,3465,484,172,BIN-17
Dallas DC,SKU-747,8361,457,458,BIN-34
Berlin Factory,SKU-685,5438,311,318,BIN-15
Tokyo Port,SKU-431,7012,326,157,BIN-38
Berlin Factory,SKU-546,2298,137,225,BIN-21
Berlin Factory,SKU-760,4156,128,184,BIN-1
Berlin Factory,SKU-575,8949,412,429,BIN-8
Dallas DC,SKU-654,4544,162,415,BIN-5
Dallas DC,SKU-306,8855,306,469,BIN-4
Berlin Factory,SKU-258,2139,380,351,BIN-25
Berlin Factory,SKU-367,6876,253,296,BIN-26
Tokyo Port,SKU-393,2298,281,226,BIN-4
Tokyo Port,SKU-579,9793,371,493,BIN-12
Dallas DC,SKU-677,9416,435,411,BIN-31
Tokyo Port,SKU-672,7244,372,226,BIN-11
Dallas DC,SKU-525,6088,89,317,BIN-28
Berlin Factory,SKU-561,3229,5,356,BIN-33
Dallas DC,SKU-801,971,89,257,BIN-20
Tokyo Port,SKU-440,4592,127,440,BIN-4
Berlin Factory,SKU-442,7290,301,262,BIN-30
Berlin Factory,SKU-249,3801,416,500,BIN-18
Dallas DC,SKU-691,6785,453,351,BIN-2
Dallas DC,SKU-313,665,187,193,BIN-16
Tokyo Port,SKU-808,1938,106,262,BIN-32
Berlin Factory,SKU-434,1484,269,198,BIN-11
Tokyo Port,SKU-749,1371,171,391,BIN-28
Dallas DC,SKU-136,3889,380,354,BIN-36
Berlin Factory,SKU-681,1821,477,306,BIN-16
Tokyo Port,SKU-234,6982,332,464,BIN-7
Tokyo Port,SKU-360,5480,6,349,BIN-6
Berlin Factory,SKU-498,8195,21,301,BIN-10
Tokyo Port,SKU-103,3211,138,277,BIN-19
Berlin Factory,SKU-449,7498,36,322,BIN-2
Berlin Factory,SKU-938,4451,123,105,BIN-15
Berlin Factory,SKU-837,7367,164,296,BIN-20
Tokyo Port,SKU-783,9580,102,229,BIN-6
Tokyo Port,SKU-919,5994,29,221,BIN-3
Dallas DC,SKU-649,6954,430,332,BIN-22
Dallas DC,SKU-671,989,371,431,BIN-15
Berlin Factory,SKU-825,3424,477,248,BIN-12
Berlin Factory,SKU-644,5190,172,382,BIN-17
Dallas DC,SKU-514,1913,316,441,BIN-37
Dallas DC,SKU-574,2985,25,111,BIN-37
Berlin Factory,SKU-764,3142,172,306,BIN-2
Berlin Factory,SKU-671,7029,109,366,BIN-7
Dallas DC,SKU-244,4099,306,192,BIN-18
Berlin Factory,SKU-351,8597,118,469,BIN-19
Dallas DC,SKU-964,1761,252,390,BIN-30
Dallas DC,SKU-261,6674,175,437,BIN-17
Tokyo Port,SKU-645,5496,299,257,BIN-25
Tokyo Port,SKU-485,196,337,154,BIN-16
Tokyo Port,SKU-167,3135,411,499,BIN-2
Berlin Factory,SKU-513,9935,99,433,BIN-13
Dallas DC,SKU-614,6630,91,197,BIN-36
Tokyo Port,SKU-902,408,500,442,BIN-40
Berlin Factory,SKU-928,5125,31,150,BIN-28
Berlin Factory,SKU-256,2108,176,191,BIN-24
Dallas DC,SKU-444,8037,378,384,BIN-22
Berlin Factory,SKU-754,4633,163,422,BIN-32
Tokyo Port,SKU-472,4642,248,361,BIN-4
Dallas DC,SKU-728,6201,435,254,BIN-23
Tokyo Port,SKU-520,5822,324,264,BIN-19
Tokyo Port,SKU-756,1737,411,258,BIN-8
Berlin Factory,SKU-342,4236,274,270,BIN-31
Berlin Factory,SKU-927,6033,402,366,BIN-7
Tokyo Port,SKU-587,9585,12,321,BIN-29
Berlin Factory,SKU-853,3591,124,339,BIN-31
Dallas DC,SKU-867,9987,66,334,BIN-20
Tokyo Port,SKU-598,7079,202,370,BIN-27
Dallas DC,SKU-206,6113,148,423,BIN-2
Berlin Factory,SKU-920,1143,153,464,BIN-35
Tokyo Port,SKU-815,3511,22,440,BIN-16
Berlin Factory,SKU-653,9554,489,476,BIN-17
Berlin Factory,SKU-150,8933,461,272,BIN-11
Berlin Factory,SKU-674,4137,380,360,BIN-10
Tokyo Port,SKU-569,4165,122,285,BIN-9
Berlin Factory,SKU-475,2192,491,109,BIN-40
Dallas DC,SKU-127,7987,267,101,BIN-12
Dallas DC,SKU-587,7350,465,437,BIN-35
Berlin Factory,SKU-316,542,124,174,BIN-34
Berlin Factory,SKU-409,4021,209,363,BIN-40
Tokyo Port,SKU-410,7344,167,167,BIN-39
Berlin Factory,SKU-407,1063,478,397,BIN-24
Berlin Factory,SKU-879,9973,371,435,BIN-11
Tokyo Port,SKU-467,301,223,460,BIN-15
Dallas DC,SKU-884,9240,482,228,BIN-15
Tokyo Port,SKU-454,3428,308,242,BIN-38
Tokyo Port,SKU-987,8061,428,248,BIN-5
Berlin Factory,SKU-483,1988,482,261,BIN-12
Dallas DC,SKU-342,702,488,159,BIN-2
Dallas DC,SKU-764,7341,159,380,BIN-5
Tokyo Port,SKU-711,6343,360,198,BIN-3
Berlin Factory,SKU-167,5934,109,430,BIN-16
Berlin Factory,SKU-224,2727,222,419,BIN-4
Berlin Factory,SKU-336,6008,400,267,BIN-15
Dallas DC,SKU-603,2265,159,397,BIN-24
Dallas DC,SKU-545,8101,94,408,BIN-17
Berlin Factory,SKU-206,5063,339,425,BIN-16
Tokyo Port,SKU-428,9686,423,431,BIN-37
Berlin Factory,SKU-846,5302,163,252,BIN-24
Tokyo Port,SKU-298,8744,383,134,BIN-2
Berlin Factory,SKU-632,7626,426,333,BIN-15
Dallas DC,SKU-669,1812,195,443,BIN-17
Tokyo Port,SKU-497,2943,115,248,BIN-29
Dallas DC,SKU-224,9698,170,392,BIN-31
Dallas DC,SKU-268,854,370,433,BIN-35
Berlin Factory,SKU-877,1334,138,131,BIN-39
Dallas DC,SKU-911,9097,15,128,BIN-24
Berlin Factory,SKU-843,3206,204,347,BIN-28
Berlin Factory,SKU-112,7814,352,149,BIN-15
Tokyo Port,SKU-881,3071,137,152,BIN-10
Dallas DC,SKU-270,2149,151,482,BIN-5
Berlin Factory,SKU-364,7045,5,236,BIN-10
Dallas DC,SKU-599,2663,314,283,BIN-18
Tokyo Port,SKU-869,3398,241,110,BIN-14
Berlin Factory,SKU-218,8629,262,130,BIN-1
Tokyo Port,SKU-989,7764,434,437,BIN-7
Tokyo Port,SKU-257,6695,329,249,BIN-21
Dallas DC,SKU-547,6562,96,443,BIN-32
Tokyo Port,SKU-662,4751,50,438,BIN-25
Dallas DC,SKU-441,5923,442,282,BIN-14
Berlin Factory,SKU-661,2778,151,304,BIN-36
Tokyo Port,SKU-365,8043,327,114,BIN-20
Berlin Factory,SKU-154,4974,489,321,BIN-15
